folderDirectory,filename,end_slice,start_slice,protocolName,systemModel,systemFieldStrength_T,receiverChannels,institutionName,sequence_type,encodeX,encodeY,reconX,reconY,numSlices,datasetName
,file_brain_AXFLAIR_201_6002971.h5,14,0,AXFLAIR,Skyra,2.8936,20,TH RADIOLOGY,TurboSpinEcho,640,320,320,320,14,fastmri_brain
,file_brain_AXFLAIR_200_6002458.h5,16,0,AXFLAIR,Skyra,2.8936,16,NYU LANGONE CBI,TurboSpinEcho,640,320,320,320,16,fastmri_brain
,file_brain_AXFLAIR_201_6002957.h5,16,0,AXFLAIR,Skyra,2.8936,20,TH RADIOLOGY,TurboSpinEcho,640,320,320,320,16,fastmri_brain
,file_brain_AXFLAIR_200_6002503.h5,16,0,AXFLAIR,Skyra,2.8936,20,NYU LANGONE CBI,TurboSpinEcho,640,320,320,320,16,fastmri_brain
,file_brain_AXFLAIR_200_6002576.h5,16,0,AXFLAIR,Skyra,2.8936,20,NYU LANGONE CBI,TurboSpinEcho,640,320,320,320,16,fastmri_brain
,file_brain_AXFLAIR_201_6003008.h5,16,0,AXFLAIR,Skyra,2.8936,20,TH RADIOLOGY,TurboSpinEcho,640,320,320,320,16,fastmri_brain
,file_brain_AXFLAIR_201_6002882.h5,16,0,AXFLAIR,Skyra,2.8936,16,TH RADIOLOGY,TurboSpinEcho,640,320,320,320,16,fastmri_brain
,file_brain_AXFLAIR_201_6002919.h5,16,0,AXFLAIR,Skyra,2.8936,20,TH RADIOLOGY,TurboSpinEcho,640,320,320,320,16,fastmri_brain
,file_brain_AXFLAIR_200_6002566.h5,16,0,AXFLAIR,Skyra,2.8936,16,NYU LANGONE CBI,TurboSpinEcho,640,320,320,320,16,fastmri_brain
,file_brain_AXFLAIR_200_6002510.h5,16,0,AXFLAIR,Skyra,2.8936,16,NYU LANGONE CBI,TurboSpinEcho,640,320,320,320,16,fastmri_brain
,file_brain_AXFLAIR_201_6003027.h5,12,0,AXFLAIR,Skyra,2.8936,16,TH RADIOLOGY,TurboSpinEcho,640,320,320,320,12,fastmri_brain
,file_brain_AXFLAIR_201_6002876.h5,16,0,AXFLAIR,Skyra,2.8936,20,TH RADIOLOGY,TurboSpinEcho,640,320,320,320,16,fastmri_brain
,file_brain_AXFLAIR_200_6002629.h5,16,0,AXFLAIR,Skyra,2.8936,16,NYU LANGONE CBI,TurboSpinEcho,640,320,320,320,16,fastmri_brain
,file_brain_AXFLAIR_201_6002896.h5,16,0,AXFLAIR,Skyra,2.8936,20,TH RADIOLOGY,TurboSpinEcho,640,320,320,320,16,fastmri_brain
,file_brain_AXFLAIR_201_6002929.h5,16,0,AXFLAIR,Skyra,2.8936,16,TH RADIOLOGY,TurboSpinEcho,640,320,320,320,16,fastmri_brain
,file_brain_AXFLAIR_201_6002917.h5,16,0,AXFLAIR,Skyra,2.8936,20,TH RADIOLOGY,TurboSpinEcho,640,320,320,320,16,fastmri_brain
,file_brain_AXFLAIR_200_6002567.h5,14,0,AXFLAIR,Skyra,2.8936,20,NYU LANGONE CBI,TurboSpinEcho,640,320,320,320,14,fastmri_brain
,file_brain_AXFLAIR_210_6001885.h5,16,0,AXFLAIR,Prisma_fit,2.8936,20,NYU LANGONE CBI,TurboSpinEcho,640,320,320,320,16,fastmri_brain
,file_brain_AXFLAIR_210_6001545.h5,14,0,AXFLAIR,Prisma_fit,2.8936,20,NYU LANGONE CBI,TurboSpinEcho,640,320,320,320,14,fastmri_brain
,file_brain_AXFLAIR_210_6001953.h5,16,0,AXFLAIR,Prisma_fit,2.8936,20,NYU LANGONE CBI,TurboSpinEcho,640,320,320,320,16,fastmri_brain
,file_brain_AXFLAIR_210_6001484.h5,16,0,AXFLAIR,Prisma_fit,2.8936,16,NYU LANGONE CBI,TurboSpinEcho,640,320,320,320,16,fastmri_brain
,file_brain_AXFLAIR_210_6001937.h5,16,0,AXFLAIR,Prisma_fit,2.8936,20,NYU LANGONE CBI,TurboSpinEcho,640,320,320,320,16,fastmri_brain
,file_brain_AXFLAIR_210_6001835.h5,16,0,AXFLAIR,Prisma_fit,2.8936,20,NYU LANGONE CBI,TurboSpinEcho,640,320,320,320,16,fastmri_brain
,file_brain_AXFLAIR_210_6001914.h5,16,0,AXFLAIR,Prisma_fit,2.8936,20,NYU LANGONE CBI,TurboSpinEcho,640,320,320,320,16,fastmri_brain
,file_brain_AXFLAIR_210_6001889.h5,16,0,AXFLAIR,Prisma_fit,2.8936,16,NYU LANGONE CBI,TurboSpinEcho,640,320,320,320,16,fastmri_brain
,file_brain_AXFLAIR_210_6001531.h5,16,0,AXFLAIR,Prisma_fit,2.8936,20,NYU LANGONE CBI,TurboSpinEcho,640,320,320,320,16,fastmri_brain
,file_brain_AXFLAIR_210_6001511.h5,16,0,AXFLAIR,Prisma_fit,2.8936,16,NYU LANGONE CBI,TurboSpinEcho,640,320,320,320,16,fastmri_brain
